protocol,avg_pkt_len,packet_count,flow_duration,tcp_flags_agg,label
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,RSTR,attack
udp,46,0,0.0,SF,normal
tcp,324,0,0.0,SF,normal
tcp,232,0,0.0,SF,normal
udp,33,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,203,0,0.0,SF,normal
icmp,8,0,0.0,SF,attack
tcp,0,0,0.0,REJ,attack
tcp,246,0,0.0,SF,normal
tcp,312,0,0.0,SF,normal
udp,44,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,264,0,0.0,SF,normal
tcp,201,0,0.0,SF,normal
tcp,265,0,0.0,SF,normal
tcp,9,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,171,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,REJ,attack
tcp,0,0,0.0,S0,attack
udp,45,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,1,0,0.0,RSTR,attack
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
udp,44,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,1699,0,0.0,SF,normal
tcp,12,0,0.0,SF,normal
icmp,8,0,0.0,SF,attack
tcp,0,0,0.0,S0,attack
tcp,1,0,0.0,RSTR,attack
tcp,167,0,0.0,SF,normal
udp,105,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,2958,0,0.0,SF,normal
tcp,329,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,REJ,attack
tcp,0,0,0.0,S0,attack
udp,42,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,223,0,0.0,SF,normal
tcp,0,0,0.0,REJ,attack
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,155,0,0.0,S2,normal
tcp,347,0,0.0,SF,normal
udp,48,0,0.0,SF,normal
tcp,215,0,0.0,SF,normal
tcp,0,0,0.0,RSTO,attack
tcp,309,0,0.0,SF,normal
icmp,1032,0,0.0,SF,attack
tcp,269,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,315,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,296,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,343,0,0.0,SF,normal
tcp,1194,0,0.0,SF,normal
tcp,203,0,0.0,SF,normal
tcp,0,0,0.0,REJ,attack
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,271,0,0.0,SF,normal
tcp,311,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,1,0,0.0,RSTR,attack
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,REJ,attack
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,357,0,0.0,SF,normal
tcp,307,0,0.0,SF,normal
tcp,126,0,0.0,RSTO,attack
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
icmp,181,0,0.0,SF,normal
tcp,262,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,837,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,334,0,0.0,SF,normal
tcp,7077,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,340,0,0.0,SF,normal
tcp,316,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
tcp,327,0,0.0,SF,normal
tcp,254,0,0.0,SF,normal
tcp,302,0,0.0,SF,normal
tcp,0,0,0.0,REJ,attack
udp,45,0,0.0,SF,normal
tcp,284,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,REJ,normal
tcp,0,0,0.0,S0,attack
tcp,252,0,0.0,SF,normal
udp,1,0,0.0,SF,attack
tcp,0,0,0.0,S0,attack
tcp,2327,0,0.0,SF,normal
tcp,221,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,S0,attack
icmp,20,0,0.0,SF,attack
tcp,0,0,0.0,REJ,attack
tcp,999,0,0.0,SF,normal
icmp,8,0,0.0,SF,attack
udp,43,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
icmp,1032,0,0.0,SF,attack
tcp,214,0,0.0,S1,normal
tcp,230,0,0.0,SF,normal
tcp,288,0,0.0,SF,normal
tcp,250,0,0.0,SF,normal
tcp,228,0,0.0,SF,normal
tcp,1766,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
udp,1,0,0.0,SF,attack
udp,146,0,0.0,SF,normal
udp,44,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,REJ,normal
icmp,1032,0,0.0,SF,attack
tcp,1313,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
udp,43,0,0.0,SF,normal
tcp,216,0,0.0,SF,normal
icmp,1032,0,0.0,SF,attack
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,RSTR,attack
tcp,1297,0,0.0,SF,attack
tcp,0,0,0.0,RSTO,attack
tcp,303,0,0.0,SF,normal
udp,83,0,0.0,SF,normal
tcp,326,0,0.0,SF,normal
tcp,0,0,0.0,S0,attack
tcp,200,0,0.0,SF,normal
tcp,942,0,0.0,SF,normal
tcp,54540,0,0.0,SF,attack
tcp,0,0,0.0,S0,attack
tcp,0,0,0.0,REJ,attack
tcp,341,0,0.0,SF,normal
udp,1,0,0.0,SF,attack
tcp,214,0,0.0,SF,normal
